# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,0.8344,0.00
memcpy,libc,0,0,0,hot,0,5.7714,0.00
memcpy,raw32,0,0,0,hot,0,1.4902,0.00
memmove,micron,0,0,0,hot,0,1.5050,0.00
memmove,libc,0,0,0,hot,0,5.5269,0.00
memset0,micron,0,0,0,hot,0,0.8122,0.00
memset0,libc,0,0,0,hot,0,5.4482,0.00
memset5A,micron,0,0,0,hot,0,1.5045,0.00
memcpy,micron,1,0,0,hot,0,3.7648,0.74
memcpy,libc,1,0,0,hot,0,5.5306,0.51
memcpy,raw32,1,0,0,hot,0,3.7568,0.74
memmove,micron,1,0,0,hot,0,4.5730,0.61
memmove,libc,1,0,0,hot,0,5.4328,0.51
memset0,micron,1,0,0,hot,0,3.0163,0.93
memset0,libc,1,0,0,hot,0,3.7586,0.74
memset5A,micron,1,0,0,hot,0,4.5097,0.62
memcpy,micron,2,0,0,hot,0,2.2272,1.25
memcpy,libc,2,0,0,hot,0,1.8881,1.48
memcpy,raw32,2,0,0,hot,0,2.2140,1.26
memmove,micron,2,0,0,hot,0,2.3038,1.21
memmove,libc,2,0,0,hot,0,1.8805,1.49
memset0,micron,2,0,0,hot,0,1.4958,1.87
memset0,libc,2,0,0,hot,0,1.9071,1.47
memset5A,micron,2,0,0,hot,0,2.2621,1.23
memcpy,micron,3,0,0,hot,0,1.4038,1.99
memcpy,libc,3,0,0,hot,0,0.5576,5.02
memcpy,raw32,3,0,0,hot,0,1.4280,1.96
memmove,micron,3,0,0,hot,0,1.5846,1.76
memmove,libc,3,0,0,hot,0,1.2611,2.22
memset0,micron,3,0,0,hot,0,1.0019,2.79
memset0,libc,3,0,0,hot,0,1.5029,1.86
memset5A,micron,3,0,0,hot,0,1.9778,1.41
memcpy,micron,4,0,0,hot,0,1.0176,2.75
memcpy,libc,4,0,0,hot,0,1.1247,2.48
memcpy,raw32,4,0,0,hot,0,1.0113,2.76
memmove,micron,4,0,0,hot,0,1.3095,2.13
memmove,libc,4,0,0,hot,0,1.1251,2.48
memset0,micron,4,0,0,hot,0,0.7503,3.72
memset0,libc,4,0,0,hot,0,1.1257,2.48
memset5A,micron,4,0,0,hot,0,1.3129,2.13
memcpy,micron,5,0,0,hot,0,0.7778,3.59
memcpy,libc,5,0,0,hot,0,0.8991,3.11
memcpy,raw32,5,0,0,hot,0,0.7719,3.62
memmove,micron,5,0,0,hot,0,1.0509,2.66
memmove,libc,5,0,0,hot,0,0.8648,3.23
memset0,micron,5,0,0,hot,0,1.5315,1.82
memset0,libc,5,0,0,hot,0,0.9070,3.08
memset5A,micron,5,0,0,hot,0,1.0604,2.63
memcpy,micron,6,0,0,hot,0,0.6642,4.21
memcpy,libc,6,0,0,hot,0,0.7560,3.70
memcpy,raw32,6,0,0,hot,0,0.6544,4.27
memmove,micron,6,0,0,hot,0,0.8523,3.23
memmove,libc,6,0,0,hot,0,0.7464,3.74
memset0,micron,6,0,0,hot,0,0.5000,5.59
memset0,libc,6,0,0,hot,0,0.7633,3.66
memset5A,micron,6,0,0,hot,0,0.8812,3.17
memcpy,micron,7,0,0,hot,0,0.5623,4.97
memcpy,libc,7,0,0,hot,0,0.0174,180.18
memcpy,raw32,7,0,0,hot,0,0.5656,4.94
memmove,micron,7,0,0,hot,0,0.7628,3.66
memmove,libc,7,0,0,hot,0,0.6535,4.27
memset0,micron,7,0,0,hot,0,0.4284,6.52
memset0,libc,7,0,0,hot,0,0.6529,4.28
memset5A,micron,7,0,0,hot,0,0.7569,3.69
memcpy,micron,8,0,0,hot,0,0.5020,5.56
memcpy,libc,8,0,0,hot,0,0.4691,5.96
memcpy,raw32,8,0,0,hot,0,0.5112,5.46
memmove,micron,8,0,0,hot,0,0.5857,4.77
memmove,libc,8,0,0,hot,0,0.4691,5.95
memset0,micron,8,0,0,hot,0,0.2961,9.43
memset0,libc,8,0,0,hot,0,0.5691,4.91
memset5A,micron,8,0,0,hot,0,0.4687,5.96
memcpy,micron,9,0,0,hot,0,0.4262,6.55
memcpy,libc,9,0,0,hot,0,0.4165,6.71
memcpy,raw32,9,0,0,hot,0,0.4311,6.48
memmove,micron,9,0,0,hot,0,0.8232,3.39
memmove,libc,9,0,0,hot,0,0.4183,6.67
memset0,micron,9,0,0,hot,0,0.2469,11.39
memset0,libc,9,0,0,hot,0,0.5065,5.52
memset5A,micron,9,0,0,hot,0,0.4953,5.64
memcpy,micron,10,0,0,hot,0,0.3835,7.29
memcpy,libc,10,0,0,hot,0,0.3745,7.46
memcpy,raw32,10,0,0,hot,0,0.3832,7.29
memmove,micron,10,0,0,hot,0,0.4067,6.87
memmove,libc,10,0,0,hot,0,0.3751,7.45
memset0,micron,10,0,0,hot,0,0.2249,12.43
memset0,libc,10,0,0,hot,0,0.1031,27.37
memset5A,micron,10,0,0,hot,0,0.3750,7.45
memcpy,micron,11,0,0,hot,0,0.3483,8.02
memcpy,libc,11,0,0,hot,0,0.3413,8.19
memcpy,raw32,11,0,0,hot,0,0.3588,7.78
memmove,micron,11,0,0,hot,0,0.3642,7.67
memmove,libc,11,0,0,hot,0,0.3410,8.19
memset0,micron,11,0,0,hot,0,0.2221,12.56
memset0,libc,11,0,0,hot,0,0.4092,6.83
memset5A,micron,11,0,0,hot,0,0.3523,7.93
memcpy,micron,12,0,0,hot,0,0.3189,8.76
memcpy,libc,12,0,0,hot,0,0.3126,8.94
memcpy,raw32,12,0,0,hot,0,0.3192,8.75
memmove,micron,12,0,0,hot,0,0.3377,8.27
memmove,libc,12,0,0,hot,0,0.3192,8.75
memset0,micron,12,0,0,hot,0,0.1880,14.84
memset0,libc,12,0,0,hot,0,0.3750,7.45
memset5A,micron,12,0,0,hot,0,0.3125,8.94
memcpy,micron,13,0,0,hot,0,0.2945,9.49
memcpy,libc,13,0,0,hot,0,0.2885,9.68
memcpy,raw32,13,0,0,hot,0,0.2948,9.48
memmove,micron,13,0,0,hot,0,0.3082,9.06
memmove,libc,13,0,0,hot,0,0.2885,9.68
memset0,micron,13,0,0,hot,0,0.1745,16.05
memset0,libc,13,0,0,hot,0,0.3459,8.07
memset5A,micron,13,0,0,hot,0,0.2886,9.68
memcpy,micron,14,0,0,hot,0,0.2735,10.22
memcpy,libc,14,0,0,hot,0,0.2680,10.43
memcpy,raw32,14,0,0,hot,0,0.2737,10.21
memmove,micron,14,0,0,hot,0,0.2874,9.72
memmove,libc,14,0,0,hot,0,0.2679,10.43
memset0,micron,14,0,0,hot,0,0.1607,17.39
memset0,libc,14,0,0,hot,0,0.6570,4.24
memset5A,micron,14,0,0,hot,0,0.0000,0.00
memcpy,micron,15,0,0,hot,0,0.2552,10.95
memcpy,libc,15,0,0,hot,0,0.2502,11.17
memcpy,raw32,15,0,0,hot,0,0.2558,10.93
memmove,micron,15,0,0,hot,0,0.2672,10.43
memmove,libc,15,0,0,hot,0,0.2496,11.20
memset0,micron,15,0,0,hot,0,0.1502,18.60
memset0,libc,15,0,0,hot,0,0.3000,9.31
memset5A,micron,15,0,0,hot,0,0.2500,11.18
memcpy,micron,16,0,0,hot,0,0.1913,14.60
memcpy,libc,16,0,0,hot,0,0.2346,11.91
memcpy,raw32,16,0,0,hot,0,0.1915,14.59
memmove,micron,16,0,0,hot,0,0.2392,11.67
memmove,libc,16,0,0,hot,0,0.2345,11.91
memset0,micron,16,0,0,hot,0,0.1407,19.86
memset0,libc,16,0,0,hot,0,0.2813,9.93
memset5A,micron,16,0,0,hot,0,0.2344,11.92
memcpy,micron,17,0,0,hot,0,0.2147,12.99
memcpy,libc,17,0,0,hot,0,0.2208,12.65
memcpy,raw32,17,0,0,hot,0,0.2206,12.67
memmove,micron,17,0,0,hot,0,0.2287,12.21
memmove,libc,17,0,0,hot,0,0.2208,12.66
memset0,micron,17,0,0,hot,0,0.1326,21.07
memset0,libc,17,0,0,hot,0,0.2647,10.56
memset5A,micron,17,0,0,hot,0,0.3088,9.05
memcpy,micron,18,0,0,hot,0,0.2028,13.77
memcpy,libc,18,0,0,hot,0,0.2086,13.40
memcpy,raw32,18,0,0,hot,0,0.2087,13.40
memmove,micron,18,0,0,hot,0,0.2252,12.41
memmove,libc,18,0,0,hot,0,0.2085,13.40
memset0,micron,18,0,0,hot,0,0.1251,22.33
memset0,libc,18,0,0,hot,0,0.2500,11.17
memset5A,micron,18,0,0,hot,0,0.3046,9.17
memcpy,micron,19,0,0,hot,0,0.1922,14.54
memcpy,libc,19,0,0,hot,0,0.1975,14.15
memcpy,raw32,19,0,0,hot,0,0.1980,14.12
memmove,micron,19,0,0,hot,0,0.2112,13.23
memmove,libc,19,0,0,hot,0,0.1976,14.14
memset0,micron,19,0,0,hot,0,0.1187,23.55
memset0,libc,19,0,0,hot,0,0.2369,11.80
memset5A,micron,19,0,0,hot,0,0.3586,7.77
memcpy,micron,20,0,0,hot,0,0.1827,15.29
memcpy,libc,20,0,0,hot,0,0.1877,14.89
memcpy,raw32,20,0,0,hot,0,0.1877,14.89
memmove,micron,20,0,0,hot,0,0.1941,14.39
memmove,libc,20,0,0,hot,0,0.1877,14.89
memset0,micron,20,0,0,hot,0,0.1126,24.80
memset0,libc,20,0,0,hot,0,0.2251,12.42
memset5A,micron,20,0,0,hot,0,0.1875,14.90
memcpy,micron,21,0,0,hot,0,0.3243,8.24
memcpy,libc,21,0,0,hot,0,0.1787,15.63
memcpy,raw32,21,0,0,hot,0,0.1790,15.61
memmove,micron,21,0,0,hot,0,0.1852,15.09
memmove,libc,21,0,0,hot,0,0.1787,15.63
memset0,micron,21,0,0,hot,0,0.1073,26.03
memset0,libc,21,0,0,hot,0,0.2143,13.04
memset5A,micron,21,0,0,hot,0,0.2500,11.17
memcpy,micron,22,0,0,hot,0,0.1658,16.85
memcpy,libc,22,0,0,hot,0,0.1707,16.37
memcpy,raw32,22,0,0,hot,0,0.1706,16.38
memmove,micron,22,0,0,hot,0,0.1766,15.82
memmove,libc,22,0,0,hot,0,0.1706,16.37
memset0,micron,22,0,0,hot,0,0.1024,27.28
memset0,libc,22,0,0,hot,0,0.2046,13.66
memset5A,micron,22,0,0,hot,0,0.0271,108.35
memcpy,micron,23,0,0,hot,0,0.1589,17.58
memcpy,libc,23,0,0,hot,0,0.1632,17.12
memcpy,raw32,23,0,0,hot,0,0.1634,17.10
memmove,micron,23,0,0,hot,0,0.1696,16.48
memmove,libc,23,0,0,hot,0,0.1634,17.08
memset0,micron,23,0,0,hot,0,0.0987,28.32
